all_ab_groups,mean_all_groups,all_min,all_q25,all_median,all_q75,all_max,mean_free_groups,mean_complex_groups,range_all_groups,range_4_9_redund,sd_4_9_redund,range_free_groups,range_complex_groups,sd_all_groups,sd_free_groups,sd_complex_groups,all_redund_count,free_redund_count,complex_redund_count,range_redund_10plus,sd_redund_10plus,range_free,range_complex,sd_free,sd_complex
1,-47.00779,-47.54451,-47.42254,-47.02759,-46.61284,-46.43146,-46.6733,-47.11928,1.113054,1.113054,0.5391518,,1.113054,0.5391518,,0.6011993,4,1,3,,,,1.113054,,0.6011993
2,-39.7591,-43.83072,-39.98852,-38.76511,-38.52333,-38.4076,-43.83072,-39.17744,5.423115,5.423115,2.0208037,,3.550383,2.0208037,,1.2674874,8,1,7,,,,3.550383,,1.2674874
3,-46.79277,-48.20619,-47.29159,-46.78842,-46.3388,-45.32539,-46.49661,-46.85201,2.880802,2.880802,0.9901522,,2.880802,0.9901522,,1.095074,6,1,5,,,,2.880802,,1.095074
4,-47.96295,-48.58541,-48.4612,-48.09148,-47.38845,-47.28822,-47.92483,-47.98837,1.297193,1.297193,0.5994892,1.072754,1.297193,0.5994892,0.7585516,0.6547149,5,2,3,,,1.072754,1.297193,0.7585516,0.6547149
5,-50.78396,-52.7123,-50.60223,-50.52116,-50.34056,-49.74357,-50.34056,-50.89481,2.968729,2.968729,1.1291145,,2.968729,1.1291145,,1.2719852,5,1,4,,,,2.968729,,1.2719852
6,-46.85746,-47.61686,-47.08782,-46.72758,-46.49721,-46.35782,-46.35782,-47.024,1.259038,1.259038,0.5560883,,1.07318,0.5560883,,0.5453673,4,1,3,,,,1.07318,,0.5453673
7,-44.36004,-46.2899,-45.71473,-44.30922,-42.94799,-42.7835,-44.43496,-44.32793,3.506402,,,3.098297,3.506402,1.4302644,1.5511199,1.5041556,10,3,7,3.506402,1.4302644,3.098297,3.506402,1.5511199,1.5041556
8,-44.27024,-52.14261,-45.36324,-43.40653,-41.93582,-41.20227,-43.11484,-46.96618,10.940336,,,5.449025,8.148378,3.3132728,2.1277319,4.4993098,10,7,3,10.940336,3.3132728,5.449025,8.148378,2.1277319,4.4993098
9,-48.24005,-49.99606,-48.31621,-47.94524,-47.68079,-47.52127,-48.80737,-47.95639,2.47479,2.47479,0.9167923,2.37737,0.892554,0.9167923,1.6810544,0.3701511,6,2,4,,,2.37737,0.892554,1.6810544,0.3701511
10,-46.12683,-48.14515,-47.17923,-45.7672,-45.13877,-44.34968,-45.33212,-46.92153,3.795474,3.795474,1.4226085,2.553779,2.58455,1.4226085,1.1089668,1.3447286,8,4,4,,,2.553779,2.58455,1.1089668,1.3447286
