Ab_set_id,data_set,mean,range,sd,redundancy,median
1,All_pdb,-47.00779,1.113054,0.5391518,4,-47.02759
2,All_pdb,-39.7591,5.423115,2.0208037,8,-38.76511
3,All_pdb,-46.79277,2.880802,0.9901522,6,-46.78842
4,All_pdb,-47.96295,1.297193,0.5994892,5,-48.09148
5,All_pdb,-50.78396,2.968729,1.1291145,5,-50.52116
6,All_pdb,-46.85746,1.259038,0.5560883,4,-46.72758
7,All_pdb,-44.36004,3.506402,1.4302644,10,-44.30922
8,All_pdb,-44.27024,10.940336,3.3132728,10,-43.40653
9,All_pdb,-48.24005,2.47479,0.9167923,6,-47.94524
10,All_pdb,-46.12683,3.795474,1.4226085,8,-45.7672
11,All_pdb,-45.1164,1.050429,0.5172989,5,-45.22422
12,All_pdb,-45.95461,4.43404,0.8539609,20,-45.89143
13,All_pdb,-48.38157,2.198458,0.4805259,33,-48.44351
14,All_pdb,-46.39731,3.293656,1.0852495,7,-46.1908
15,All_pdb,-42.95501,2.723332,0.67355,14,-43.01233
16,All_pdb,-47.04676,2.024718,0.9003393,4,-46.7916
17,All_pdb,-44.57882,2.90508,1.2570474,4,-44.3759
18,All_pdb,-47.53856,5.098002,2.1078036,5,-48.07175
19,All_pdb,-42.81734,1.003157,0.4656066,5,-42.60826
20,All_pdb,-44.72361,4.367285,1.0792269,15,-44.85632
21,All_pdb,-42.35117,4.042282,1.2578985,7,-42.70484
22,All_pdb,-44.08819,8.54651,2.7942486,7,-43.497
23,All_pdb,-47.20342,4.448644,2.0731826,4,-47.56748
24,All_pdb,-44.94924,4.552725,1.8854439,8,-44.76024
25,All_pdb,-45.32082,3.918365,1.6274216,4,-45.06442
26,All_pdb,-48.79216,1.66727,0.6679725,7,-49.0581
27,All_pdb,-46.35405,4.371957,1.8168591,4,-46.42853
28,All_pdb,-40.74913,1.367615,0.6863116,4,-40.7342
29,All_pdb,-45.5405,4.296886,1.7302306,7,-44.81053
30,All_pdb,-44.61245,6.077366,2.3239004,7,-45.98763
31,All_pdb,-42.19895,0.903666,0.3971912,4,-42.13331
32,All_pdb,-45.64351,7.740125,3.743246,4,-43.90581
33,All_pdb,-44.36808,4.262727,1.3214668,20,-43.9673
34,All_pdb,-42.05329,6.074268,3.0747498,4,-41.70598
35,All_pdb,-40.50448,8.362036,4.0684333,5,-38.44436
36,All_pdb,-47.62677,0.512255,0.22594,4,-47.57167
37,All_pdb,-40.31082,5.262697,2.3698178,4,-39.46654
38,All_pdb,-47.7363,7.758262,3.1301737,5,-46.87822
39,All_pdb,-46.90014,7.554617,2.4991428,7,-47.34017
40,All_pdb,-44.21646,4.110692,1.3011443,15,-43.94945
41,All_pdb,-47.95079,2.051094,0.5859999,14,-47.92769
42,All_pdb,-46.54823,1.501983,0.5723703,6,-46.46495
43,All_pdb,-50.99752,1.627187,0.7034619,4,-50.83768
44,All_pdb,-44.12559,1.808345,0.8186776,4,-44.36975
45,All_pdb,-47.28586,3.228181,1.5909536,4,-47.20031
46,All_pdb,-48.97991,8.290868,3.3951298,4,-48.98305
47,All_pdb,-48.2324,3.409705,1.3750913,6,-47.88606
48,All_pdb,-44.28034,1.953091,0.8879353,4,-43.99738
49,All_pdb,-44.08829,4.669678,1.4599521,7,-44.33084
50,All_pdb,-44.08161,1.442561,0.5549751,5,-43.89544
51,All_pdb,-42.53223,3.186637,0.8916901,10,-42.33794
52,All_pdb,-47.77113,2.650443,1.1756542,5,-47.41072
53,All_pdb,-47.55775,3.981231,1.4903738,6,-47.80129
54,All_pdb,-47.50907,8.723699,4.5793905,4,-47.17719
55,All_pdb,-44.27024,10.940336,3.3132728,10,-43.40653
56,All_pdb,-47.10062,5.006646,2.6645233,4,-46.98076
57,All_pdb,-48.79216,1.66727,0.6679725,7,-49.0581
58,All_pdb,-47.07617,4.409698,2.0563542,4,-46.42161
59,All_pdb,-44.79962,4.367285,1.0860547,16,-44.96431
60,All_pdb,-47.90297,6.560409,3.260688,4,-48.34772
61,All_pdb,-45.26134,4.443557,1.8748411,5,-45.95999
62,All_pdb,-49.39572,8.089146,3.020829,6,-48.28949
63,All_pdb,-52.01889,4.608055,1.7012891,6,-51.6894
64,All_pdb,-44.55011,1.04328,0.4167273,5,-44.68212
65,All_pdb,-44.79962,4.367285,1.0860547,16,-44.96431
66,All_pdb,-49.01676,0.694306,0.289543,4,-49.03071
1,free_pdb,-46.6733,,,1,
2,free_pdb,-43.83072,,,1,
3,free_pdb,-46.49661,,,1,
4,free_pdb,-47.92483,1.072754,0.7585516,2,
5,free_pdb,-50.34056,,,1,
6,free_pdb,-46.35782,,,1,
7,free_pdb,-44.43496,3.098297,1.5511199,3,
8,free_pdb,-43.11484,5.449025,2.1277319,7,
9,free_pdb,-48.80737,2.37737,1.6810544,2,
10,free_pdb,-45.33212,2.553779,1.1089668,4,
11,free_pdb,-45.22422,,,1,
12,free_pdb,-44.12666,,,1,
13,free_pdb,-48.43927,1.716535,0.4134588,31,
14,free_pdb,-46.04886,,,1,
15,free_pdb,-42.45273,1.638403,0.839024,3,
16,free_pdb,-48.31428,,,1,
17,free_pdb,-46.23429,,,1,
18,free_pdb,-45.6694,,,1,
19,free_pdb,-42.92852,0.90398,0.4545808,4,
20,free_pdb,-45.1512,2.720245,1.1875222,4,
21,free_pdb,-41.97998,4.042282,2.037402,3,
22,free_pdb,-42.39104,3.23167,1.6165708,3,
23,free_pdb,-44.61505,,,1,
24,free_pdb,-43.74434,0.721846,0.5104222,2,
25,free_pdb,-44.31441,1.392756,0.9848272,2,
26,free_pdb,-49.26647,,,1,
27,free_pdb,-44.09359,,,1,
28,free_pdb,-41.44787,,,1,
29,free_pdb,-44.81053,,,1,
30,free_pdb,-42.0884,3.31239,2.3422134,2,
31,free_pdb,-42.05028,0.475064,0.335921,2,
32,free_pdb,-43.51115,,,1,
33,free_pdb,-45.12401,3.972394,1.4668101,5,
34,free_pdb,-39.44893,0.170962,0.1208884,2,
35,free_pdb,-39.60475,7.654884,4.294468,3,
36,free_pdb,-47.64169,,,1,
37,free_pdb,-43.78645,,,1,
38,free_pdb,-43.64212,,,1,
39,free_pdb,-45.19992,5.165984,3.6529023,2,
40,free_pdb,-45.05236,3.972394,1.6835923,4,
41,free_pdb,-48.10786,0.044338,0.0313517,2,
42,free_pdb,-45.94102,,,1,
43,free_pdb,-50.67624,0.664953,0.4701928,2,
44,free_pdb,-42.97726,,,1,
45,free_pdb,-46.95278,3.228181,1.7694774,3,
46,free_pdb,-50.89005,4.464288,3.1567283,2,
47,free_pdb,-48.26859,2.834467,1.2819672,4,
48,free_pdb,-43.73495,,,1,
49,free_pdb,-43.14501,,,1,
50,free_pdb,-43.8811,,,1,
51,free_pdb,-42.25921,1.220381,0.4751236,5,
52,free_pdb,-48.95683,,,1,
53,free_pdb,-47.60286,3.981231,1.8505821,4,
