Ab_set_id,Data_set,Mean,Redundancy,Median
1,All_pdb,-47.00779,4,-47.02759
2,All_pdb,-39.7591,8,-38.76511
3,All_pdb,-46.79277,6,-46.78842
4,All_pdb,-47.96295,5,-48.09148
5,All_pdb,-50.78396,5,-50.52116
6,All_pdb,-46.85746,4,-46.72758
7,All_pdb,-44.36004,10,-44.30922
8,All_pdb,-44.27024,10,-43.40653
9,All_pdb,-48.24005,6,-47.94524
10,All_pdb,-46.12683,8,-45.7672
11,All_pdb,-45.1164,5,-45.22422
12,All_pdb,-45.95461,20,-45.89143
13,All_pdb,-48.38157,33,-48.44351
14,All_pdb,-46.39731,7,-46.1908
15,All_pdb,-42.95501,14,-43.01233
16,All_pdb,-47.04676,4,-46.7916
17,All_pdb,-44.57882,4,-44.3759
18,All_pdb,-47.53856,5,-48.07175
19,All_pdb,-42.81734,5,-42.60826
20,All_pdb,-44.72361,15,-44.85632
21,All_pdb,-42.35117,7,-42.70484
22,All_pdb,-44.08819,7,-43.497
23,All_pdb,-47.20342,4,-47.56748
24,All_pdb,-44.94924,8,-44.76024
25,All_pdb,-45.32082,4,-45.06442
26,All_pdb,-48.79216,7,-49.0581
27,All_pdb,-46.35405,4,-46.42853
28,All_pdb,-40.74913,4,-40.7342
29,All_pdb,-45.5405,7,-44.81053
30,All_pdb,-44.61245,7,-45.98763
31,All_pdb,-42.19895,4,-42.13331
32,All_pdb,-45.64351,4,-43.90581
33,All_pdb,-44.36808,20,-43.9673
34,All_pdb,-42.05329,4,-41.70598
35,All_pdb,-40.50448,5,-38.44436
36,All_pdb,-47.62677,4,-47.57167
37,All_pdb,-40.31082,4,-39.46654
38,All_pdb,-47.7363,5,-46.87822
39,All_pdb,-46.90014,7,-47.34017
40,All_pdb,-44.21646,15,-43.94945
41,All_pdb,-47.95079,14,-47.92769
42,All_pdb,-46.54823,6,-46.46495
43,All_pdb,-50.99752,4,-50.83768
44,All_pdb,-44.12559,4,-44.36975
45,All_pdb,-47.28586,4,-47.20031
46,All_pdb,-48.97991,4,-48.98305
47,All_pdb,-48.2324,6,-47.88606
48,All_pdb,-44.28034,4,-43.99738
49,All_pdb,-44.08829,7,-44.33084
50,All_pdb,-44.08161,5,-43.89544
51,All_pdb,-42.53223,10,-42.33794
52,All_pdb,-47.77113,5,-47.41072
53,All_pdb,-47.55775,6,-47.80129
54,All_pdb,-47.50907,4,-47.17719
55,All_pdb,-44.27024,10,-43.40653
56,All_pdb,-47.10062,4,-46.98076
57,All_pdb,-48.79216,7,-49.0581
58,All_pdb,-47.07617,4,-46.42161
59,All_pdb,-44.79962,16,-44.96431
60,All_pdb,-47.90297,4,-48.34772
61,All_pdb,-45.26134,5,-45.95999
62,All_pdb,-49.39572,6,-48.28949
63,All_pdb,-52.01889,6,-51.6894
64,All_pdb,-44.55011,5,-44.68212
65,All_pdb,-44.79962,16,-44.96431
66,All_pdb,-49.01676,4,-49.03071
1,Free_pdb,-46.6733,1,
2,Free_pdb,-43.83072,1,
3,Free_pdb,-46.49661,1,
