Ab_set_id,Data_set,Mean,Redundancy,Redundancy Category,Median,
1,All_pdb,-47.00779,4,4 to 6,-47.02759,
6,All_pdb,-46.85746,4,4 to 6,-46.72758,
16,All_pdb,-47.04676,4,4 to 6,-46.7916,
17,All_pdb,-44.57882,4,4 to 6,-44.3759,
23,All_pdb,-47.20342,4,4 to 6,-47.56748,
25,All_pdb,-45.32082,4,4 to 6,-45.06442,
27,All_pdb,-46.35405,4,4 to 6,-46.42853,
28,All_pdb,-40.74913,4,4 to 6,-40.7342,
31,All_pdb,-42.19895,4,4 to 6,-42.13331,
32,All_pdb,-45.64351,4,4 to 6,-43.90581,
34,All_pdb,-42.05329,4,4 to 6,-41.70598,
36,All_pdb,-47.62677,4,4 to 6,-47.57167,
37,All_pdb,-40.31082,4,4 to 6,-39.46654,
43,All_pdb,-50.99752,4,4 to 6,-50.83768,
44,All_pdb,-44.12559,4,4 to 6,-44.36975,
45,All_pdb,-47.28586,4,4 to 6,-47.20031,
46,All_pdb,-48.97991,4,4 to 6,-48.98305,
48,All_pdb,-44.28034,4,4 to 6,-43.99738,
54,All_pdb,-47.50907,4,4 to 6,-47.17719,
56,All_pdb,-47.10062,4,4 to 6,-46.98076,
58,All_pdb,-47.07617,4,4 to 6,-46.42161,
60,All_pdb,-47.90297,4,4 to 6,-48.34772,
66,All_pdb,-49.01676,4,4 to 6,-49.03071,
4,All_pdb,-47.96295,5,4 to 6,-48.09148,
5,All_pdb,-50.78396,5,4 to 6,-50.52116,
11,All_pdb,-45.1164,5,4 to 6,-45.22422,
18,All_pdb,-47.53856,5,4 to 6,-48.07175,
19,All_pdb,-42.81734,5,4 to 6,-42.60826,
35,All_pdb,-40.50448,5,4 to 6,-38.44436,
38,All_pdb,-47.7363,5,4 to 6,-46.87822,
50,All_pdb,-44.08161,5,4 to 6,-43.89544,
52,All_pdb,-47.77113,5,4 to 6,-47.41072,
61,All_pdb,-45.26134,5,4 to 6,-45.95999,
64,All_pdb,-44.55011,5,4 to 6,-44.68212,
3,All_pdb,-46.79277,6,4 to 6,-46.78842,
9,All_pdb,-48.24005,6,4 to 6,-47.94524,
42,All_pdb,-46.54823,6,4 to 6,-46.46495,
47,All_pdb,-48.2324,6,4 to 6,-47.88606,
53,All_pdb,-47.55775,6,4 to 6,-47.80129,
62,All_pdb,-49.39572,6,4 to 6,-48.28949,
63,All_pdb,-52.01889,6,4 to 6,-51.6894,
14,All_pdb,-46.39731,7,7 plus,-46.1908,
21,All_pdb,-42.35117,7,7 plus,-42.70484,
22,All_pdb,-44.08819,7,7 plus,-43.497,
26,All_pdb,-48.79216,7,7 plus,-49.0581,
29,All_pdb,-45.5405,7,7 plus,-44.81053,
30,All_pdb,-44.61245,7,7 plus,-45.98763,
39,All_pdb,-46.90014,7,7 plus,-47.34017,
49,All_pdb,-44.08829,7,7 plus,-44.33084,
57,All_pdb,-48.79216,7,7 plus,-49.0581,
2,All_pdb,-39.7591,8,7 plus,-38.76511,
10,All_pdb,-46.12683,8,7 plus,-45.7672,
24,All_pdb,-44.94924,8,7 plus,-44.76024,
7,All_pdb,-44.36004,10,7 plus,-44.30922,
8,All_pdb,-44.27024,10,7 plus,-43.40653,
51,All_pdb,-42.53223,10,7 plus,-42.33794,
55,All_pdb,-44.27024,10,7 plus,-43.40653,
15,All_pdb,-42.95501,14,7 plus,-43.01233,
41,All_pdb,-47.95079,14,7 plus,-47.92769,
20,All_pdb,-44.72361,15,7 plus,-44.85632,
40,All_pdb,-44.21646,15,7 plus,-43.94945,
59,All_pdb,-44.79962,16,7 plus,-44.96431,
65,All_pdb,-44.79962,16,7 plus,-44.96431,
12,All_pdb,-45.95461,20,7 plus,-45.89143,
33,All_pdb,-44.36808,20,7 plus,-43.9673,
13,All_pdb,-48.38157,33,7 plus,-48.44351,
19,Complex_pdb,-42.37261,1,1 to 3,,
45,Complex_pdb,-48.2851,1,1 to 3,,
66,Complex_pdb,-49.10034,1,1 to 3,,
13,Complex_pdb,-47.48714,2,1 to 3,,
25,Complex_pdb,-46.32723,2,1 to 3,,
31,Complex_pdb,-42.34761,2,1 to 3,,
34,Complex_pdb,-44.65764,2,1 to 3,,
35,Complex_pdb,-41.85407,2,1 to 3,,
43,Complex_pdb,-51.3188,2,1 to 3,,
46,Complex_pdb,-47.06976,2,1 to 3,,
47,Complex_pdb,-48.16003,2,1 to 3,,
53,Complex_pdb,-47.46754,2,1 to 3,,
1,Complex_pdb,-47.11928,3,1 to 3,,
4,Complex_pdb,-47.98837,3,1 to 3,,
6,Complex_pdb,-47.024,3,1 to 3,,
8,Complex_pdb,-46.96618,3,1 to 3,,
16,Complex_pdb,-46.62425,3,1 to 3,,
17,Complex_pdb,-44.027,3,1 to 3,,
23,Complex_pdb,-48.06622,3,1 to 3,,
27,Complex_pdb,-47.10754,3,1 to 3,,
28,Complex_pdb,-40.51622,3,1 to 3,,
32,Complex_pdb,-46.3543,3,1 to 3,,
36,Complex_pdb,-47.6218,3,1 to 3,,
37,Complex_pdb,-39.15227,3,1 to 3,,
44,Complex_pdb,-44.50837,3,1 to 3,,
48,Complex_pdb,-44.46214,3,1 to 3,,
54,Complex_pdb,-46.45492,3,1 to 3,,
55,Complex_pdb,-46.96618,3,1 to 3,,
56,Complex_pdb,-47.8951,3,1 to 3,,
58,Complex_pdb,-46.12303,3,1 to 3,,
60,Complex_pdb,-49.14462,3,1 to 3,,
5,Complex_pdb,-50.89481,4,4 to 6,,
9,Complex_pdb,-47.95639,4,4 to 6,,
10,Complex_pdb,-46.92153,4,4 to 6,,
11,Complex_pdb,-45.08945,4,4 to 6,,
18,Complex_pdb,-48.00585,4,4 to 6,,
21,Complex_pdb,-42.62957,4,4 to 6,,
22,Complex_pdb,-45.36106,4,4 to 6,,
38,Complex_pdb,-48.75985,4,4 to 6,,
50,Complex_pdb,-44.13174,4,4 to 6,,
52,Complex_pdb,-47.4747,4,4 to 6,,
61,Complex_pdb,-45.63461,4,4 to 6,,
62,Complex_pdb,-49.94884,4,4 to 6,,
64,Complex_pdb,-44.48501,4,4 to 6,,
3,Complex_pdb,-46.85201,5,4 to 6,,
30,Complex_pdb,-45.62207,5,4 to 6,,
39,Complex_pdb,-47.58023,5,4 to 6,,
42,Complex_pdb,-46.66967,5,4 to 6,,
51,Complex_pdb,-42.80526,5,4 to 6,,
63,Complex_pdb,-52.50881,5,4 to 6,,
14,Complex_pdb,-46.45539,6,4 to 6,,
24,Complex_pdb,-45.35087,6,4 to 6,,
26,Complex_pdb,-48.71311,6,4 to 6,,
29,Complex_pdb,-45.66217,6,4 to 6,,
49,Complex_pdb,-44.24551,6,4 to 6,,
57,Complex_pdb,-48.71311,6,4 to 6,,
2,Complex_pdb,-39.17744,7,7 plus,,
7,Complex_pdb,-44.32793,7,7 plus,,
15,Complex_pdb,-43.092,11,7 plus,,
20,Complex_pdb,-44.56813,11,7 plus,,
40,Complex_pdb,-43.91249,11,7 plus,,
41,Complex_pdb,-47.92461,12,7 plus,,
59,Complex_pdb,-44.68243,12,7 plus,complex sd,
65,Complex_pdb,-44.68243,12,7 plus,2.60401731674732,
33,Complex_pdb,-44.1161,15,7 plus,,
12,Complex_pdb,-46.05082,19,7 plus,,
1,Free_pdb,-46.6733,1,1 to 3,free sd,
2,Free_pdb,-43.83072,1,1 to 3,2.73181792599959,
3,Free_pdb,-46.49661,1,1 to 3,,
5,Free_pdb,-50.34056,1,1 to 3,all mean,All sd
6,Free_pdb,-46.35782,1,1 to 3,-45.7983382089552,2.58909765379693
11,Free_pdb,-45.22422,1,1 to 3,,
12,Free_pdb,-44.12666,1,1 to 3,All 1sd,
14,Free_pdb,-46.04886,1,1 to 3,-43.209,-48.387
16,Free_pdb,-48.31428,1,1 to 3,,
17,Free_pdb,-46.23429,1,1 to 3,,
18,Free_pdb,-45.6694,1,1 to 3,,
23,Free_pdb,-44.61505,1,1 to 3,,
26,Free_pdb,-49.26647,1,1 to 3,,
27,Free_pdb,-44.09359,1,1 to 3,,
28,Free_pdb,-41.44787,1,1 to 3,,
29,Free_pdb,-44.81053,1,1 to 3,,
32,Free_pdb,-43.51115,1,1 to 3,,
36,Free_pdb,-47.64169,1,1 to 3,,
37,Free_pdb,-43.78645,1,1 to 3,,
38,Free_pdb,-43.64212,1,1 to 3,,
42,Free_pdb,-45.94102,1,1 to 3,,
44,Free_pdb,-42.97726,1,1 to 3,,
48,Free_pdb,-43.73495,1,1 to 3,,
49,Free_pdb,-43.14501,1,1 to 3,,
50,Free_pdb,-43.8811,1,1 to 3,,
52,Free_pdb,-48.95683,1,1 to 3,,
54,Free_pdb,-50.6715,1,1 to 3,,
56,Free_pdb,-44.71715,1,1 to 3,,
57,Free_pdb,-49.26647,1,1 to 3,,
58,Free_pdb,-49.93557,1,1 to 3,,
60,Free_pdb,-44.178,1,1 to 3,,
61,Free_pdb,-43.76824,1,1 to 3,,
63,Free_pdb,-49.56932,1,1 to 3,,
64,Free_pdb,-44.81053,1,1 to 3,,
4,Free_pdb,-47.92483,2,1 to 3,,
9,Free_pdb,-48.80737,2,1 to 3,,
24,Free_pdb,-43.74434,2,1 to 3,,
25,Free_pdb,-44.31441,2,1 to 3,,
30,Free_pdb,-42.0884,2,1 to 3,,
31,Free_pdb,-42.05028,2,1 to 3,,
34,Free_pdb,-39.44893,2,1 to 3,,
39,Free_pdb,-45.19992,2,1 to 3,,
41,Free_pdb,-48.10786,2,1 to 3,,
43,Free_pdb,-50.67624,2,1 to 3,,
46,Free_pdb,-50.89005,2,1 to 3,,
62,Free_pdb,-48.28949,2,1 to 3,,
7,Free_pdb,-44.43496,3,1 to 3,,
15,Free_pdb,-42.45273,3,1 to 3,,
21,Free_pdb,-41.97998,3,1 to 3,,
22,Free_pdb,-42.39104,3,1 to 3,,
35,Free_pdb,-39.60475,3,1 to 3,,
45,Free_pdb,-46.95278,3,1 to 3,,
66,Free_pdb,-48.9889,3,1 to 3,,
10,Free_pdb,-45.33212,4,4 to 6,,
19,Free_pdb,-42.92852,4,4 to 6,,
20,Free_pdb,-45.1512,4,4 to 6,,
40,Free_pdb,-45.05236,4,4 to 6,,
47,Free_pdb,-48.26859,4,4 to 6,,
53,Free_pdb,-47.60286,4,4 to 6,,
59,Free_pdb,-45.1512,4,4 to 6,,
65,Free_pdb,-45.1512,4,4 to 6,,
33,Free_pdb,-45.12401,5,4 to 6,,
51,Free_pdb,-42.25921,5,4 to 6,,
8,Free_pdb,-43.11484,7,7 plus,,
55,Free_pdb,-43.11484,7,7 plus,,
13,Free_pdb,-48.43927,31,7 plus,,
