Ab_set_id,Data_set,Mean,Redundancy
1,All_redund_(4 to 6),-47.00779,4
3,All_redund_(4 to 6),-46.79277,6
4,All_redund_(4 to 6),-47.96295,5
5,All_redund_(4 to 6),-50.78396,5
6,All_redund_(4 to 6),-46.85746,4
9,All_redund_(4 to 6),-48.24005,6
11,All_redund_(4 to 6),-45.1164,5
16,All_redund_(4 to 6),-47.04676,4
17,All_redund_(4 to 6),-44.57882,4
18,All_redund_(4 to 6),-47.53856,5
19,All_redund_(4 to 6),-42.81734,5
23,All_redund_(4 to 6),-47.20342,4
25,All_redund_(4 to 6),-45.32082,4
27,All_redund_(4 to 6),-46.35405,4
28,All_redund_(4 to 6),-40.74913,4
31,All_redund_(4 to 6),-42.19895,4
32,All_redund_(4 to 6),-45.64351,4
34,All_redund_(4 to 6),-42.05329,4
35,All_redund_(4 to 6),-40.50448,5
36,All_redund_(4 to 6),-47.62677,4
37,All_redund_(4 to 6),-40.31082,4
38,All_redund_(4 to 6),-47.7363,5
42,All_redund_(4 to 6),-46.54823,6
43,All_redund_(4 to 6),-50.99752,4
44,All_redund_(4 to 6),-44.12559,4
45,All_redund_(4 to 6),-47.28586,4
46,All_redund_(4 to 6),-48.97991,4
47,All_redund_(4 to 6),-48.2324,6
48,All_redund_(4 to 6),-44.28034,4
50,All_redund_(4 to 6),-44.08161,5
52,All_redund_(4 to 6),-47.77113,5
53,All_redund_(4 to 6),-47.55775,6
54,All_redund_(4 to 6),-47.50907,4
56,All_redund_(4 to 6),-47.10062,4
58,All_redund_(4 to 6),-47.07617,4
60,All_redund_(4 to 6),-47.90297,4
61,All_redund_(4 to 6),-45.26134,5
62,All_redund_(4 to 6),-49.39572,6
63,All_redund_(4 to 6),-52.01889,6
64,All_redund_(4 to 6),-44.55011,5
66,All_redund_(4 to 6),-49.01676,4
2,All_redund_(7+),-39.7591,8
7,All_redund_(7+),-44.36004,10
8,All_redund_(7+),-44.27024,10
10,All_redund_(7+),-46.12683,8
12,All_redund_(7+),-45.95461,20
13,All_redund_(7+),-48.38157,33
14,All_redund_(7+),-46.39731,7
15,All_redund_(7+),-42.95501,14
20,All_redund_(7+),-44.72361,15
21,All_redund_(7+),-42.35117,7
22,All_redund_(7+),-44.08819,7
24,All_redund_(7+),-44.94924,8
26,All_redund_(7+),-48.79216,7
29,All_redund_(7+),-45.5405,7
30,All_redund_(7+),-44.61245,7
33,All_redund_(7+),-44.36808,20
39,All_redund_(7+),-46.90014,7
40,All_redund_(7+),-44.21646,15
41,All_redund_(7+),-47.95079,14
49,All_redund_(7+),-44.08829,7
51,All_redund_(7+),-42.53223,10
55,All_redund_(7+),-44.27024,10
59,All_redund_(7+),-44.79962,16
65,All_redund_(7+),-44.79962,16
