Ab_set_id,Data_set,Range,SD,Redundancy,Redundancy Category
4,Free_pdb,1.072754,0.7585516,2,2 to 3
9,Free_pdb,2.37737,1.6810544,2,2 to 3
24,Free_pdb,0.721846,0.5104222,2,2 to 3
25,Free_pdb,1.392756,0.9848272,2,2 to 3
30,Free_pdb,3.31239,2.3422134,2,2 to 3
31,Free_pdb,0.475064,0.335921,2,2 to 3
34,Free_pdb,0.170962,0.1208884,2,2 to 3
39,Free_pdb,5.165984,3.6529023,2,2 to 3
41,Free_pdb,0.044338,0.0313517,2,2 to 3
43,Free_pdb,0.664953,0.4701928,2,2 to 3
46,Free_pdb,4.464288,3.1567283,2,2 to 3
62,Free_pdb,0.245458,0.173565,2,2 to 3
13,Complex_pdb,1.055755,0.7465315,2,2 to 3
25,Complex_pdb,2.418345,1.7100281,2,2 to 3
31,Complex_pdb,0.737612,0.5215704,2,2 to 3
34,Complex_pdb,1.560169,1.1032061,2,2 to 3
35,Complex_pdb,6.819433,4.8220673,2,2 to 3
43,Complex_pdb,1.304317,0.9222914,2,2 to 3
46,Complex_pdb,4.476863,3.1656202,2,2 to 3
47,Complex_pdb,3.002781,2.1232868,2,2 to 3
53,Complex_pdb,1.270979,0.8987179,2,2 to 3
7,Free_pdb,3.098297,1.5511199,3,2 to 3
15,Free_pdb,1.638403,0.839024,3,2 to 3
21,Free_pdb,4.042282,2.037402,3,2 to 3
22,Free_pdb,3.23167,1.6165708,3,2 to 3
35,Free_pdb,7.654884,4.294468,3,2 to 3
45,Free_pdb,3.228181,1.7694774,3,2 to 3
66,Free_pdb,0.694306,0.347988,3,2 to 3
1,Complex_pdb,1.113054,0.6011993,3,2 to 3
4,Complex_pdb,1.297193,0.6547149,3,2 to 3
6,Complex_pdb,1.07318,0.5453673,3,2 to 3
8,Complex_pdb,8.148378,4.4993098,3,2 to 3
16,Complex_pdb,0.748673,0.3805829,3,2 to 3
17,Complex_pdb,1.468619,0.7370282,3,2 to 3
23,Complex_pdb,2.60727,1.4073614,3,2 to 3
27,Complex_pdb,2.439341,1.2429836,3,2 to 3
28,Complex_pdb,1.142307,0.6172886,3,2 to 3
32,Complex_pdb,7.38071,4.2410524,3,2 to 3
36,Complex_pdb,0.512255,0.2764507,3,2 to 3
37,Complex_pdb,1.215623,0.6088694,3,2 to 3
44,Complex_pdb,0.67776,0.355302,3,2 to 3
48,Complex_pdb,1.953091,0.9921412,3,2 to 3
54,Complex_pdb,8.723699,4.9788456,3,2 to 3
55,Complex_pdb,8.148378,4.4993098,3,2 to 3
56,Complex_pdb,4.829705,2.6195914,3,2 to 3
58,Complex_pdb,1.686084,0.9445076,3,2 to 3
60,Complex_pdb,4.579929,2.5880305,3,2 to 3
1,All_pdb,1.113054,0.5391518,4,4 to 6
6,All_pdb,1.259038,0.5560883,4,4 to 6
16,All_pdb,2.024718,0.9003393,4,4 to 6
17,All_pdb,2.90508,1.2570474,4,4 to 6
23,All_pdb,4.448644,2.0731826,4,4 to 6
25,All_pdb,3.918365,1.6274216,4,4 to 6
27,All_pdb,4.371957,1.8168591,4,4 to 6
28,All_pdb,1.367615,0.6863116,4,4 to 6
31,All_pdb,0.903666,0.3971912,4,4 to 6
32,All_pdb,7.740125,3.743246,4,4 to 6
34,All_pdb,6.074268,3.0747498,4,4 to 6
36,All_pdb,0.512255,0.22594,4,4 to 6
37,All_pdb,5.262697,2.3698178,4,4 to 6
43,All_pdb,1.627187,0.7034619,4,4 to 6
44,All_pdb,1.808345,0.8186776,4,4 to 6
45,All_pdb,3.228181,1.5909536,4,4 to 6
46,All_pdb,8.290868,3.3951298,4,4 to 6
48,All_pdb,1.953091,0.8879353,4,4 to 6
54,All_pdb,8.723699,4.5793905,4,4 to 6
56,All_pdb,5.006646,2.6645233,4,4 to 6
58,All_pdb,4.409698,2.0563542,4,4 to 6
60,All_pdb,6.560409,3.260688,4,4 to 6
66,All_pdb,0.694306,0.289543,4,4 to 6
10,Free_pdb,2.553779,1.1089668,4,4 to 6
19,Free_pdb,0.90398,0.4545808,4,4 to 6
20,Free_pdb,2.720245,1.1875222,4,4 to 6
40,Free_pdb,3.972394,1.6835923,4,4 to 6
47,Free_pdb,2.834467,1.2819672,4,4 to 6
53,Free_pdb,3.981231,1.8505821,4,4 to 6
59,Free_pdb,2.720245,1.1875222,4,4 to 6
65,Free_pdb,2.720245,1.1875222,4,4 to 6
5,Complex_pdb,2.968729,1.2719852,4,4 to 6
9,Complex_pdb,0.892554,0.3701511,4,4 to 6
10,Complex_pdb,2.58455,1.3447286,4,4 to 6
11,Complex_pdb,1.050429,0.5932572,4,4 to 6
18,Complex_pdb,5.098002,2.1137762,4,4 to 6
21,Complex_pdb,0.921621,0.3951617,4,4 to 6
22,Complex_pdb,6.609385,2.9720135,4,4 to 6
38,Complex_pdb,4.94848,2.4657009,4,4 to 6
50,Complex_pdb,1.442561,0.6276232,4,4 to 6
52,Complex_pdb,2.650443,1.1212049,4,4 to 6
61,Complex_pdb,4.443557,1.9385085,4,4 to 6
62,Complex_pdb,8.089146,3.7383451,4,4 to 6
64,Complex_pdb,1.04328,0.4508779,4,4 to 6
4,All_pdb,1.297193,0.5994892,5,4 to 6
5,All_pdb,2.968729,1.1291145,5,4 to 6
11,All_pdb,1.050429,0.5172989,5,4 to 6
18,All_pdb,5.098002,2.1078036,5,4 to 6
19,All_pdb,1.003157,0.4656066,5,4 to 6
35,All_pdb,8.362036,4.0684333,5,4 to 6
38,All_pdb,7.758262,3.1301737,5,4 to 6
50,All_pdb,1.442561,0.5549751,5,4 to 6
52,All_pdb,2.650443,1.1756542,5,4 to 6
61,All_pdb,4.443557,1.8748411,5,4 to 6
64,All_pdb,1.04328,0.4167273,5,4 to 6
33,Free_pdb,3.972394,1.4668101,5,4 to 6
51,Free_pdb,1.220381,0.4751236,5,4 to 6
3,Complex_pdb,2.880802,1.095074,5,4 to 6
30,Complex_pdb,3.552779,1.5065537,5,4 to 6
39,Complex_pdb,5.50372,2.0022787,5,4 to 6
42,Complex_pdb,1.388423,0.5467167,5,4 to 6
51,Complex_pdb,3.186637,1.173413,5,4 to 6
63,Complex_pdb,2.929417,1.348279,5,4 to 6
3,All_pdb,2.880802,0.9901522,6,4 to 6
9,All_pdb,2.47479,0.9167923,6,4 to 6
42,All_pdb,1.501983,0.5723703,6,4 to 6
47,All_pdb,3.409705,1.3750913,6,4 to 6
53,All_pdb,3.981231,1.4903738,6,4 to 6
62,All_pdb,8.089146,3.020829,6,4 to 6
63,All_pdb,4.608055,1.7012891,6,4 to 6
14,Complex_pdb,3.293656,1.1768552,6,4 to 6
24,Complex_pdb,4.552725,2.0372703,6,4 to 6
26,Complex_pdb,1.66727,0.6949336,6,4 to 6
29,Complex_pdb,4.296886,1.8622848,6,4 to 6
49,Complex_pdb,4.669678,1.5330156,6,4 to 6
57,Complex_pdb,1.66727,0.6949336,6,4 to 6
14,All_pdb,3.293656,1.0852495,7,7 plus
21,All_pdb,4.042282,1.2578985,7,7 plus
22,All_pdb,8.54651,2.7942486,7,7 plus
26,All_pdb,1.66727,0.6679725,7,7 plus
29,All_pdb,4.296886,1.7302306,7,7 plus
30,All_pdb,6.077366,2.3239004,7,7 plus
39,All_pdb,7.554617,2.4991428,7,7 plus
49,All_pdb,4.669678,1.4599521,7,7 plus
57,All_pdb,1.66727,0.6679725,7,7 plus
8,Free_pdb,5.449025,2.1277319,7,7 plus
55,Free_pdb,5.449025,2.1277319,7,7 plus
2,Complex_pdb,3.550383,1.2674874,7,7 plus
7,Complex_pdb,3.506402,1.5041556,7,7 plus
2,All_pdb,5.423115,2.0208037,8,7 plus
10,All_pdb,3.795474,1.4226085,8,7 plus
24,All_pdb,4.552725,1.8854439,8,7 plus
7,All_pdb,3.506402,1.4302644,10,7 plus
8,All_pdb,10.940336,3.3132728,10,7 plus
51,All_pdb,3.186637,0.8916901,10,7 plus
55,All_pdb,10.940336,3.3132728,10,7 plus
15,Complex_pdb,1.995354,0.5938424,11,7 plus
20,Complex_pdb,3.171021,1.0525367,11,7 plus
40,Complex_pdb,3.804828,1.067098,11,7 plus
41,Complex_pdb,2.051094,0.6328579,12,7 plus
59,Complex_pdb,3.434451,1.0788395,12,7 plus
65,Complex_pdb,3.434451,1.0788395,12,7 plus
15,All_pdb,2.723332,0.67355,14,7 plus
41,All_pdb,2.051094,0.5859999,14,7 plus
20,All_pdb,4.367285,1.0792269,15,7 plus
40,All_pdb,4.110692,1.3011443,15,7 plus
33,Complex_pdb,3.956863,1.21783,15,7 plus
59,All_pdb,4.367285,1.0860547,16,7 plus
65,All_pdb,4.367285,1.0860547,16,7 plus
12,Complex_pdb,3.531677,0.7578646,19,7 plus
12,All_pdb,4.43404,0.8539609,20,7 plus
33,All_pdb,4.262727,1.3214668,20,7 plus
13,Free_pdb,1.716535,0.4134588,31,7 plus
13,All_pdb,2.198458,0.4805259,33,7 plus
