'Ab_set_id','Category','P-Angles'
1,'mean_all_sets',-47.00779
2,'mean_all_sets',-39.7591
3,'mean_all_sets',-46.79277
4,'mean_all_sets',-47.96295
5,'mean_all_sets',-50.78396
6,'mean_all_sets',-46.85746
7,'mean_all_sets',-44.36004
8,'mean_all_sets',-44.27024
9,'mean_all_sets',-48.24005
10,'mean_all_sets',-46.12683
11,'mean_all_sets',-45.1164
12,'mean_all_sets',-45.95461
13,'mean_all_sets',-48.38157
14,'mean_all_sets',-46.39731
15,'mean_all_sets',-42.95501
16,'mean_all_sets',-47.04676
17,'mean_all_sets',-44.57882
18,'mean_all_sets',-47.53856
19,'mean_all_sets',-42.81734
20,'mean_all_sets',-44.72361
21,'mean_all_sets',-42.35117
22,'mean_all_sets',-44.08819
23,'mean_all_sets',-47.20342
24,'mean_all_sets',-44.94924
25,'mean_all_sets',-45.32082
26,'mean_all_sets',-48.79216
27,'mean_all_sets',-46.35405
28,'mean_all_sets',-40.74913
29,'mean_all_sets',-45.5405
30,'mean_all_sets',-44.61245
31,'mean_all_sets',-42.19895
32,'mean_all_sets',-45.64351
33,'mean_all_sets',-44.36808
34,'mean_all_sets',-42.05329
35,'mean_all_sets',-40.50448
36,'mean_all_sets',-47.62677
37,'mean_all_sets',-40.31082
38,'mean_all_sets',-47.7363
39,'mean_all_sets',-46.90014
40,'mean_all_sets',-44.21646
41,'mean_all_sets',-47.95079
42,'mean_all_sets',-46.54823
43,'mean_all_sets',-50.99752
44,'mean_all_sets',-44.12559
45,'mean_all_sets',-47.28586
46,'mean_all_sets',-48.97991
47,'mean_all_sets',-48.2324
48,'mean_all_sets',-44.28034
49,'mean_all_sets',-44.08829
50,'mean_all_sets',-44.08161
51,'mean_all_sets',-42.53223
52,'mean_all_sets',-47.77113
53,'mean_all_sets',-47.55775
54,'mean_all_sets',-47.50907
55,'mean_all_sets',-44.27024
56,'mean_all_sets',-47.10062
57,'mean_all_sets',-48.79216
58,'mean_all_sets',-47.07617
59,'mean_all_sets',-44.79962
60,'mean_all_sets',-47.90297
61,'mean_all_sets',-45.26134
62,'mean_all_sets',-49.39572
63,'mean_all_sets',-52.01889
64,'mean_all_sets',-44.55011
65,'mean_all_sets',-44.79962
66,'mean_all_sets',-49.01676
1,'mean_free_sets',-46.6733
2,'mean_free_sets',-43.83072
3,'mean_free_sets',-46.49661
4,'mean_free_sets',-47.92483
5,'mean_free_sets',-50.34056
6,'mean_free_sets',-46.35782
7,'mean_free_sets',-44.43496
8,'mean_free_sets',-43.11484
9,'mean_free_sets',-48.80737
10,'mean_free_sets',-45.33212
11,'mean_free_sets',-45.22422
12,'mean_free_sets',-44.12666
13,'mean_free_sets',-48.43927
14,'mean_free_sets',-46.04886
15,'mean_free_sets',-42.45273
16,'mean_free_sets',-48.31428
17,'mean_free_sets',-46.23429
18,'mean_free_sets',-45.6694
19,'mean_free_sets',-42.92852
