nonredund_free_pdb nonredund_free_pangle
3DUR_1 -39.828697
3HZV_1 -43.822898
 
 
4EVN_1 -45.872961
 
2BJM_1 -42.713188
3FO2_1 -43.826983
 
 
 
4M7Z_1 -37.355853
3L7F_1 -47.113828
5IR1_1 -48.934848
4NPY_1 -42.290631
5FHA_1 -48.838392
5I8E_1 -43.734953
1LO3_1 -44.302664
4AMK_1 -45.047629
 
 
3OAU_1 -47.789796
1JGV_1 -45.330903
 
3IY2_1 -41.948726
3WIF_1 -39.296914
 
 
5IK3_1 -45.178472
1DN0_1 -47.210325
5F88_1 -48.304021
2FJF_1 -41.371729
3MO1_1 -44.716061
1UZ8_1 -49.576149
2OJZ_1 -46.663747
 
2C1O_1 -47.622724
3OAY_1 -45.452673
 
1DL7_1 -37.209346
2A77_1 -47.083492
1OM3_1 -46.994596
5CMA_1 -47.600777
 
 
3LS4_1 -47.73351
5TFS_1 -43.369235
1RU9_1 -44.706318
1AQK_1 -42.693679
3NTC_1 -46.488931
4LAR_1 -48.923284
2QTJ_1 -45.490127
3D69_1 -49.356946
4HJG_1 -43.008261
3N9G_1 -46.972329
1FGN_1 -44.073583
1DQQ_1 -47.38845
 
2GFB_1 -52.440286
 
 
5JUE_1 -51.549599
4UV4_1 -43.677404
2O5Z_1 -45.348132
4JJ5_1 -44.534289
 
 
 
2H32_1 -42.980483
4M6O_1 -42.36199
 
3F12_1 -50.41114
1MRD_1 -45.284708
 
1HZH_1 -50.340559
4CKD_1 -46.52975
2IG2_1 -43.616874
4ODV_1 -49.685099
1UB6_1 -32.43931
1EAP_1 -39.60583
2PR4_1 -40.753638
3QRG_1 -43.847356
2ADI_1 -49.189375
 
4XPT_1 -48.130025
 
 
 
 
 
3QCV_1 -41.664663
4G5Z_1 -42.715123
 
4KAQ_1 -47.18964
1A7N_1 -43.435961
 
1KCU_1 -46.365881
 
1MFE_1 -47.410916
 
 
4OTX_1 -38.637546
5ADP_1 -48.466339
 
5TPL_1 -44.111994
2W9D_1 -48.062351
 
1DQM_1 -48.461204
5CGY_1 -50.378183
5CCK_1 -47.161714
 
 
4NKO_1 -44.078527
1RUR_1 -46.286848
1FLR_1 -42.591013
1IGY_1 -49.2341
 
5T1K_1 -47.653834
 
1S5I_1 -45.934623
4NRZ_1 -44.731941
5CEX_1 -48.124573
 
3EO0_1 -43.809195
2R2H_1 -42.608714
2GJZ_1 -45.299794
1CK0_1 -46.856039
 
4HIE_1 -42.287815
 
2G60_1 -43.847462
3TNN_1 -45.01079
2XA8_1 -47.48114
 
3U1S_1 -40.607853
 
3J30_1 -45.744457
 
5DD5_1 -49.770021
2C1P_1 -45.00007
4PTU_1 -40.09177
4GMT_1 -41.931049
 
4DN3_1 -41.932153
 
 
3MUG_1 -48.361574
4ERS_1 -43.36967
4GSD_1 -42.834958
 
1IAI_1 -39.931721
1Q9W_1 -44.698808
 
3PHO_1 -42.156815
3V0W_1 -41.607434
 
 
2XKN_1 -49.951937
 
 
 
5IIE_1 -46.736646
5H2B_1 -49.672874
1D5I_1 -42.192881
 
 
4OD3_1 -48.217831
 
2O5X_1 -45.001256
1HEZ_1 -42.124242
 
3CMO_1 -45.955109
 
 
 
 
1FVD_1 -42.771884
 
2Z91_1 -54.448248
 
5ALC_1 -41.380986
5LGH_1 -46.830622
 
4X7S_1 -47.233874
 
 
5IOP_1 -48.443511
 
3SY0_1 -43.042272
1LO4_1 -47.414216
4R96_1 -44.870534
2AJU_1 -46.048856
5U0R_1 -47.18499
1RUK_1 -45.008285
5FHB_1 -45.115281
 
 
3NAC_1 -45.365689
1ND0_1 -46.145267
 
 
 
4YHY_1 -45.531482
 
 
2G75_1 -43.758285
 
3MXV_1 -47.824892
 
3Q6F_1 -46.964006
3TCL_1 -47.607746
3T4Y_1 -43.248795
1BLN_1 -48.428714
1B2W_1 -48.842083
 
5DRN_1 -39.414819
5TDN_1 -37.646686
1HQ4_1 -47.704509
5CP3_1 -46.679803
 
4JFY_1 -43.902285
4KY1_1 -44.25356
4OSU_1 -44.516315
5I74_1 -50.581197
3CLF_1 -46.586141
 
4OCR_1 -46.720812
3QPQ_1 -44.615047
4TUO_1 -42.616924
 
1BVL_1 -40.627543
5ETU_1 -48.650251
4DVB_1 -50.011004
 
1A7R_1 -43.230659
1MEX_1 -51.162317
1IGJ_1 -50.751474
4QT5_1 -46.116987
1RZ7_1 -41.447869
4ODU_1 -50.343768
 
5TDO_1 -41.559012
4X0K_1 -45.641977
2AJV_1 -45.393408
 
4QHN_1 -48.745773
 
 
1IGI_1 -49.162829
2CGR_1 -46.22182
4FNL_1 -44.323212
4UIN_1 -55.106534
 
5IBU_1 -47.045543
1NC2_1 -44.206611
3U4B_1 -49.5688
 
2O5Y_1 -45.788607
 
1BM3_1 -47.849295
5DYO_1 -42.087706
 
1YED_1 -53.518382
 
4XML_1 -45.418577
4MA1_1 -36.901752
 
5DRW_1 -47.361235
 
 
 
 
5B4M_1 -49.088146
 
 
3MJ8_1 -43.449957
 
5I1G_1 -43.971718
4K3D_1 -42.325949
 
 
4RZC_1 -41.061676
 
 
4X4X_1 -43.851928
4Q2Z_1 -43.819034
 
1IGC_1 -46.945596
1RUA_1 -45.210255
1I9I_1 -46.721782
 
 
1CFQ_1 -43.83072
 
2A9M_1 -42.628647
 
 
3IY5_1 -43.560923
 
1VPO_1 -47.904083
5L7X_1 -46.830622
1YEG_1 -51.235284
1Q9L_1 -43.167252
 
 
2R2B_1 -42.256827
1AXT_1 -43.140213
 
3CFE_1 -49.3677
1DBB_1 -45.325386
 
4NZT_1 -40.432206
1DEE_1 -44.014837
 
 
2R1Y_1 -43.003928
3WFH_1 -39.885992
3J7E_1 -41.638902
1IND_1 -43.180882
 
 
 
 
 
 
3S62_1 -47.705156
5GGU_1 -42.788763
1GPO_1 -48.510011
 
 
 
 
 
 
 
 
 
 
1MRE_1 -46.289901
 
4A6Y_1 -42.909403
3NCJ_1 -46.907417
3CFK_1 -51.042388
 
 
5BVJ_1 -46.232713
1QBM_1 -43.952445
3U0W_1 -46.064455
1R24_1 -49.068319
 
3VG0_1 -45.890669
3CLE_1 -45.825776
2ZKH_1 -48.673797
5DRX_1 -46.296897
1I9J_1 -47.69691
5IT2_1 -46.460673
1IBG_1 -45.44938
 
5CIP_1 -42.793627
 
 
4UT7_1 -45.381346
 
 
1B4J_1 -49.772059
 
 
3UTZ_1 -49.220648
 
 
4KUZ_1 -48.049251
5DD6_1 -53.059794
 
1OP5_1 -44.148506
 
3IKC_1 -42.471789
 
1BEY_1 -47.428917
 
3M8O_1 -40.80336
5ID0_1 -48.786314
 
4M61_1 -46.26883
2RCJ_1 
 
1BFV_1 -47.562567
 
5F6H_1 -43.289869
 
 
3AAZ_1 -41.781858
3J2X_1 -45.744117
1S3K_1 -46.57317
3PP3_1 -46.276644
 
1E6O_1 -47.996991
 
3MLT_1 -42.38992
1DSF_1 -53.020476
1OCW_1 -51.414246
3QO1_1 -43.496996
 
 
1RZ8_1 -44.126661
4UIL_1 -49.515686
1JNN_1 -42.99214
2AJZ_1 -48.687064
3DV4_1 -43.561005
4UIM_1 -53.385248
4TRP_1 -47.782908
 
1KN4_1 -51.20574
 
 
3FO9_1 -45.607683
1A7P_1 -42.551908
 
3CFJ_1 -48.873432
1IGF_1 -49.709552
 
4M5Y_1 -43.877553
4HDI_1 -50.083055
1HKL_1 -47.054833
2BFV_1 -49.729868
3NA9_1 -46.026204
5DQJ_1 -45.226678
 
1P7K_1 -46.903455
5ANM_1 -41.992576
3IY7_1 -41.908743
1A5F_1 -43.615059
 
5CP7_1 -45.295226
1OAR_1 -49.996058
1ZLS_1 -45.553393
 
 
 
 
5I6X_1 -50.247678
1NGP_1 -47.68964
1CF8_1 -46.939407
2R6P_1 -43.63499
5JW5_1 -46.229569
 
3HC3_1 -46.999378
1KEM_1 -34.330916
4MA3_1 -40.060314
3CHN_1 -45.491346
 
5DK3_1 -42.977262
 
4QTH_1 -42.55205
43CA_1 -43.158132
1QBL_1 -46.053042
 
3QQ9_1 -43.270494
1P4I_1 -43.089297
4XCY_1 -44.186546
4NM4_1 -42.757237
 
1Q72_1 -45.621234
 
5I1L_1 -45.973407
 
2MCP_1 -40.856559
 
 
5I17_1 -46.955594
 
5JO5_1 -45.556254
3J2Y_1 -54.195066
1AY1_1 -59.928802
3L7E_1 -50.851828
5FF6_1 -47.876774
 
 
1F3D_1 -44.781147
3WII_1 -46.425311
2E27_1 -45.632052
4YNY_1 -45.941018
 
 
1ZLV_1 -43.847017
 
4GW1_1 -48.828681
 
 
2A9N_1 -42.299583
3FCT_1 -48.8464
4HII_1 -42.716417
1JGL_1 -43.098119
4FAB_1 -43.509195
3OKD_1 -42.276617
 
 
 
4HGW_1 -42.787411
1F11_1 -45.513639
1YY8_1 -47.44119
 
5ALB_1 -41.902054
 
4OAW_1 -43.116984
 
4Z95_1 -51.008721
 
 
4PTT_1 -40.481815
3MME_1 -49.169424
4FQL_1 -50.037076
3RVU_1 -44.105266
2FJF_1 -41.371729
 
2DQU_1 -47.391534
4QHL_1 -47.977233
 
 
 
 
 
4RFE_1 -43.642118
 
2A6J_1 -45.0229
4ODH_1 -46.963874
4HXA_1 -45.079968
1DBK_1 -48.206188
1MQK_1 -45.669397
 
3QG7_1 -45.856883
4HWE_1 -42.635655
 
 
4NUJ_1 -44.998048
4EBQ_1 -46.457033
1UM6_1 -42.400642
3O11_1 -46.973334
 
 
 
1FGV_1 -42.521013
1MFA_1 -47.880827
 
 
 
5I76_1 -48.855173
 
 
 
1JN6_1 -51.424628
1OAQ_1 -47.618688
 
 
 
 
4UOK_1 -29.193569
3CFD_1 -49.295451
1NLB_1 -42.930949
 
4QXG_1 -44.494848
3ZL4_1 -36.408443
 
4R7D_1 -47.902149
3J42_1 -47.80396
2IPT_1 -44.552245
3HZY_1 -43.129042
 
4M6M_1 -39.534416
4HK0_1 -38.953864
2R1W_1 -43.02074
 
4NYL_1 -41.831133
5GGV_1 -44.320978
2F5A_1 -40.753638
2W60_1 -41.50958
4FQ2_1 -40.783564
 
 
 
4JDV_1 -43.870562
3S34_1 -45.813747
 
2XZC_1 -50.270941
 
1A6T_1 -48.818219
1RUM_1 -45.409618
 
5F7E_1 -42.313635
4LEX_1 -47.27377
4HBC_1 -43.643996
 
 
 
5T4Z_1 -45.953439
5TDP_1 -37.832892
3FZU_1 -41.50123
3QCU_1 -42.296135
3IF1_1 -49.115494
3SGD_1 -44.068533
3HNV_1 -50.03061
 
5CHN_1 -43.679869
3MCK_1 -46.684699
1RIU_1 -44.570805
5TRP_1 -45.459838
1MFC_1 -46.533212
 
1RZG_1 -42.910585
 
 
1YMH_1 -46.029246
 
 
 
1IT9_1 -44.533898
1PG7_1 -50.886183
1MJU_1 -43.12524
 
4S2S_1 -47.608109
3NAA_1 -46.539955
 
 
 
 
1XF2_1 -44.349676
1JNL_1 -41.097165
5I8K_1 -41.461286
1L7T_1 -47.706093
 
4R4B_1 -48.678327
1KCV_1 -48.585297
1A6W_1 -46.431457
5TLJ_1 -48.809146
 
3OKK_1 -42.759852
 
1VFA_1 -42.890381
 
 
1BZ7_1 -48.283362
